id,position,primary_keyword,role_family,experience_years,experience_bucket,english_level,english_score,skills,skill_count,interest_tags,cv_excerpt
d33b9d2c-6de7-52cf-9fa5-43058f3346b9,Junior QA Engineer,QA,mobile,0.5,junior_0_1,intermediate,3.0,agile;qa;scrum,3,,"My skills: • Knowledge of testing theory (bug life cycle, types of testing); • Knowledge of SDLC, software development methodologies; • Knowledge of STLC, testing types, techniques, principles, levels; • Experience in web, mobile testing (quality control); • Experience in functional, usability and regression testing; • Experience with MantisBT, Jira and Trello; • Skills in creation documentation (bug-reports, test cases and checklists); • Understanding the principles of Agile, Scrum; • Ability to learn quickly new material; • Strong communication skills; • Analytical thinking, attention to det"
0fdaa6b4-1244-578d-b692-824ddf897f9b,web designer,Design,mobile,1.0,junior_1_3,intermediate,3.0,figma;ui/ux,2,,"I am a beginner web designer with some experience in creating websites and mobile applications. I have worked with tools like Figma, Illustrator, and Photoshop. In my portfolio, I have completed projects that showcase my skills in web design and user experience. I strive to continually improve my skills and explore new technologies to stay up-to-date with the latest trends and methodologies in web design. I am eager to take on new challenges and pursue professional growth in this field. My experience and proficiency with these tools enable me to bring creative and user-friendly projects to lif"
e34ff326-4dab-5004-9b04-3f251208ac16,QA Automation Engineer,QA Automation,qa_testing,5.0,mid_3_6,intermediate,3.0,api;qa,2,,"Developing and maintaining automation UI and API tests. Execution, monitoring and analysis of automated tests. Regression testing. Getting position where I can apply my professional skills and experience."
baaada8f-515d-5b42-99b3-6f1e2c54af80,"Data Scientist, Data Analyst",Data Science,machine_learning,3.0,mid_3_6,fluent,5.0,machine learning;nlp,2,,"- Scientific publication in a peer-reviewed journal - Human weight/activity prediction algorithm for a commercial device - Integrated tax fraud detection algorithm for a government The projects which were completed by me range from bio-statistics to fraud prediction and nlp research. I've a full range experience in the whole pipeline of ML/AI based solution creation, starting from data collection and cleaning to model building and explainability. Currently, I'm involved in several projects where in one I'm the principal data scientist in real estate related project and in the other NLP special"
0d002d99-a4c7-58c2-911d-87457f8581a1,"Engineering Program Manager, Senior Project Manager, Project Manager",Project Manager,product_project,10.0,senior_10_plus,fluent,5.0,agile;data analysis;git;jenkins;project management;python;qa;scrum,8,,"Master's degree in Computer Science Master's degree in Program & Project management PMP certified Strong knowledge of SDLC, PM methodologies, management lifehacks & hints, best practices, pain points, ITIL practices. Agile coaching, mentorship; facilitation, negotiation, leadership; public speaking, L&D activities. Toolkit: - JIRA, Confluence, Redmine, RTC, Youtrack, Airtable, Mantis, Bugzilla, Oracle, proprietary tracking tools, ERP systems, KPI/OKR keepers, etc. - Git/Gerrit, GitLab, Jenkins, Sonar Cube, Allure, Coverity, TestRail, etc. - C/C++, QA automation on Python 2.7, 3.2 - Practicing "
3e6554c6-fdeb-52c1-b348-aac4ff892086,DevOps engineer,DevOps,data_analytics,4.0,mid_3_6,fluent,5.0,aws;azure;docker;gcp;jenkins;linux;mysql,7,,"4 -year practical experience in IT. Experience in administering Linux/UNIX and Windows systems Work with different cloud environments (Azure / AWS / Google Cloud / others); Help design and build architectural solutions for complex systems; Deploy and maintain external and internal systems and APIs. Administration MySQL, Jenkins, Docker, Apache, Nginx"
24e9b116-9699-5e53-9a07-237e40fc10b4,React Developer,JavaScript,frontend,1.5,junior_1_3,intermediate,3.0,javascript;node.js;react;typescript,4,,"I am a self-taught frontend developer with a year of commercial experience in building React apps. I came to this because I've been interested in programming since I was a teenager, not because of the popularity of the direction. I like to learn something new and am looking for a team to grow as a developer. NodeJS Developer, Freelance 03/2023 - 08/2023 Description: Desktop cross-platform application, for Steam accounts management. Used technologies: NodeJS, ElectronJS, ReactJS, NestJS, TS, Vite, Zustand, Eslint Responsible for: Full application development cycle Project support Daily communic"
57314e71-cbaa-51d6-b0c3-005fcd62225b,Developer / Computer Vision Engineer / Engineer Researcher C/C++,C++,machine_learning,11.0,senior_10_plus,intermediate,3.0,computer vision;linux;machine learning,3,,"C/C++ (C++ 11), Win32, WinAPI, Windows(kernel/user mode), Networking, Linux (user mode), Multithreading, Embedded, OpenCV, Open Source, Visual Studio, AHDL, Verilog HDL (Max Plus,Synplify Pro) - CV (Computer Vision) algorithms, video analytic, CV algorithms(prototypes) development. - multithreads software development (synchronization, data communication (IPC, RPC)). - network programming (client/server application). - experience of driver development (WDDM, WDM). - experience of work with open source library (Ffmpeg, OpenCV, XviD and others) - program development using manufacturer's SDK (HikV"
59e377c4-7456-5e1e-b8ec-16133dd40022,Front-end/Full-stack Developer,JavaScript,fullstack,7.0,senior_6_10,fluent,5.0,data analysis;git;graphql;javascript;node.js;python;react;ruby;typescript,9,,"With my 6 years as a JavaScript engineer I took part in development of 7 large-product projects: 1) Hotel management system CRM-like - Finished and under support 2) Booking button service - gives hotel's owners ability to get customers through this service, mainly get their rooms booked. 3) Booking button service - redevelopment in React Redux - in Progress. 4) Sign up module for hotel management system 5) Transportation management company - building a dashboard app for both drivers and shippers. 6) Marketing analytics platform formerly known as Keywee currently known as Anyword. 7) Building a"
8bcc4982-280a-5465-b0ec-0fcdd8e245e6,Middle/Senior QA Engineer,QA,mobile,6.0,senior_6_10,intermediate,3.0,android;data analysis;mysql;qa;selenium;sql,6,,"Testing of mobile applications and games. Developing test documentation (test plans, test cases, checklists etc.). Manual functional, smoke, non-functional, regression, exploratory, ad hoc testing. Knowledge of development methodologies; Creating bugs in a bug tracking system (Jira, Mantis). Understanding basic SDLC models and methodologies, bug life cycle. Knowledge and experience of testing processes and methodologies: planning, design, execution and reporting; Defect life cycle; Basic knowledge of SQL, HTML, CSS, Selenium, Katalon. Estimation skills; Requirements analysis/testing; Experienc"
