id,position,primary_keyword,role_family,experience_years,experience_bucket,english_level,english_score,skills,skill_count,interest_tags,cv_excerpt
0d138415-50d2-5450-bf3f-1f04d20799c4,"Art director, Web UI designer, Branding designer, Graphic designer, Illustrator",Design,design_ux,11.0,senior_10_plus,intermediate,3.0,figma;ui/ux,2,remote,"More than 300 successful projects done for 10+ years of work for clients in Ukraine, Europe, USA and Asia, as a freelancer or as a team member as well. Among clients: Samsung, Total, British Council, FAW, Xpower, Anagog, Yogo, Sigurd Vedal, Turkish Airlines, Macallan, AIG Lincoln, Ukrainian Greek Catholic Church, IDS Borjomi, National Technical University of Ukraine, Nanan, Aika, Gorenje, Ralot, 1C Bitrix, Vogster Entertainment, Vitesse, Yuterra etc. 10+ years of remote full-time, part-time, freelance and office work in Art-Direction and Web UI/UX (+responsive), Product and App Design, Brandin"
3add7b7e-304c-5d82-9b17-a7715813d363,Front-end engineer,JavaScript,frontend,5.0,mid_3_6,intermediate,3.0,javascript;react;react native;vue,4,,"I am a Front End Engineer. I am currently employed as Front End Engineer. The most experience I have with Vue JS, Vuex. A little less with React, Redux, React Native. I am also gaining experience with Stencil JS and Ionic. English level - Intermediate. I have Experience working with teams from different countries. Constantly trying to improve my technology skills. Also working on improving my English level on Cambly service with foreign tutors. I look forward to discussing my qualifications in more detail. I am looking for an opportunity to channel my skills into working with some of the most "
7062abfe-f109-548a-a12e-438bf0a38d14,Project Manager,Project Manager,product_project,3.0,mid_3_6,fluent,5.0,agile;project management;scrum,3,,"Professional and ambitious IT Project Manager with successful background in international business and project execution. Possess excellent organizational, communication and negotiation skills and the ability to develop and maintain mutually beneficial internal and external relationships. More than 9 years of management experience. IT PM Responsibilities: - Project assessment, planning and roadmap creation; - Development, release and further support of IT projects based Magento 1, 2 versions, Phalcon Framework, Zend; - Team work management, control and evaluation of the effective team performa"
4abe22f0-a3ec-564b-93e2-a33813ebdd7a,Oracle DBA,SQL,data_analytics,3.0,mid_3_6,fluent,5.0,linux;sql,2,,"Linux, SQL, Unix shell (BASH), BAT, Oracle RDBMS 10.2/11.2, VirtualBox, TCP/IP, Windows, MS Office My future working place is has to be related to Oracle products and services with the Oracle RDBS in the center. I have never ever worked as a developer but i'd like to gain experience in that field. So i'd willingly consider all job proposals matching my desire to stay with Oracle and move forward."
d4cbd86d-3ac2-5024-b0ba-ca9eb8f0b229,DevOps,DevOps,devops_cloud,1.0,junior_1_3,intermediate,3.0,aws;docker;jenkins;python;terraform,5,,"Cyber security vCISO intern Work with Cloud , python , bash , MDMs, compliances, Networks, Pentest tools. Education project on Epam It was my own custom python project (Andromeda - Service for information security ) Technology(tools) on the project: Jenkins, Terraform, AWS, Docker Compose, LAMP stack, Python jango. On my crypto team I was responsible for all stages of IT development. the infrastructure was create by terraform on AWS, python scripts configured instances and deploy services"
91610a9c-9c9f-5f3b-95ea-67c80a65196b,Разработчик C++,C++,machine_learning,1.5,junior_1_3,intermediate,3.0,git;java;linux;machine learning;python;sql,6,,"C++, Qt, STL, SQL, Python, Java, OOP, Design Patterns, concurrency, distributed computing, Algorithms & Data structures, good math background, machine learning fundamentals, cryptography fundamentals, SVN/Git, Linux"
b98a4ecf-dc8d-50a7-9b48-073968e6a49c,QA Engineer,QA,qa_testing,0.5,junior_0_1,fluent,5.0,api;python;qa;scrum,4,,"QA Engineer, Prestashop test project, December 2023 - February 2023 Project Description: Internet store Conducting Manual Testing of Web Applications (Functional, Usability, Localization, Cross-browser); Creating testing documentation (Checklists, Test Cases, Bug Reports); Creating API tests using Postman, Python(requests, pytest) Participating in Team Meetings (Scrum team) Tools: TestRail, Postman, Python, Requests, Pytest QA Engineer, Training project, February 2023- April 2023 Project Description: Medical center Manual Testing of Web Applications; Writing appropriate test documentation (Тes"
c2d02cab-a32f-54fd-8f0a-4daf81d200d4,IT recruiter,Recruiter,fullstack,10.0,senior_10_plus,intermediate,3.0,.net;android;angular;ios;java;javascript;node.js;php;product management;qa;ui/ux,11,leadership,"I have experience leading junior IT Recruiter. I'm able to find a candidate in a very short term. Closed vacancies: - Solution Architect -System/Business Analyst -Project/Product Manager - Team Lead - Developer (Front, Back, FullStack/JS, Java, C# etc) - QA Engineer -UI/UX Designer -other Organizing of full cycle recruiting process - Recruiting IT specialists - Software developers (Javascript (Angular JS, Node JS), ASP.Net, C#, .Net, PHP, IOS, Android.), Quality Assurance specialists UI/UX designers etc. Daily communication with potential candidates, selection of candidates for further intervi"
d9443d7e-d854-55cd-8cf9-b47a3b6be8d5,UI/UX Designer,Design,mobile,2.5,junior_1_3,fluent,5.0,android;ios;ui/ux,3,leadership;research,"Creation of multiple products from scratch, one of them is currently working. Product added good value to the portfolio of company's existing products. Conducted lecture for the design team inside the company: Difference between Android & iOS guidelines, implementation of material design in iOS environment. Currently creating a process for the new design team to continue product development. Allocation of obligations, creation of regular meetings and methodologies for design review process. Development of the design system and creation of guidelines for its usage Experience of working with exi"
0383da23-a018-548d-91c1-ce542b45c0c7,Senior .Net Developer,.NET,backend,5.0,mid_3_6,intermediate,3.0,.net;microservices,2,,"Self-directed, detail-oriented, and professional C# programmer with more than 5 years of commercial experience in designing, developing, analyzing, and implementing client-server, web, applications using C# language. Has experience in Microservices Architecture, DDD"
