batch_id,run_id,participant_set,project_set,weight_profile,participant_count,project_count,required_slots,available_candidates,main_method,main_feasible,main_objective_score,main_mean_team_score,main_min_team_score,main_max_team_score,main_fairness_deviation,local_improvement_gain,accepted_swaps,accepted_replacements,best_by_objective,best_by_min_team_score,best_by_fairness,total_runtime_seconds,load_inputs_seconds,normalize_inputs_seconds,score_seconds,allocate_and_improve_seconds,compare_baselines_seconds,export_run_outputs_seconds,saved_run_dir
ex-all-all-def,participants_080-projects_a-weights_default,080,a,default,80,4,16,80,round_based_marginal_contribution_with_local_improvement,True,3.3951269230836187,0.8559346135862419,0.7988245516463333,0.9132706766917293,0.11444612504539609,0.14337118399447046,1,3,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,1.3079378509996786,0.0006432010000025912,0.006107024999892019,0.0017653069999141735,1.2937829789998432,0.002800004999699013,0.0027646850003293366,runs/batches/ex-all-all-def/runs/participants_080-projects_a-weights_default
ex-all-all-def,participants_080-projects_b-weights_default,080,b,default,80,4,16,80,round_based_marginal_contribution_with_local_improvement,True,3.2771827515437373,0.8295799948904999,0.7359680052201838,0.900516917293233,0.16454891207304922,0.07079103091857952,1,7,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,2.2901353310003287,0.0005630129999190103,0.005980334000014409,0.0016619890002402826,2.2767455080002037,0.0028362050002215256,0.002292652000051021,runs/batches/ex-all-all-def/runs/participants_080-projects_b-weights_default
ex-all-all-def,participants_080-projects_c-weights_default,080,c,default,80,5,19,80,round_based_marginal_contribution_with_local_improvement,True,3.916949972093458,0.7946756815928029,0.684245951417004,0.9099596948992312,0.22571374348222728,0.09958674088774222,0,4,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,1.854249652999897,0.000565762999940489,0.006176243000027171,0.002085684000121546,1.8396535050001148,0.003481576000012865,0.002235282000128791,runs/batches/ex-all-all-def/runs/participants_080-projects_c-weights_default
ex-all-all-def,participants_080-projects_d-weights_default,080,d,default,80,6,24,80,round_based_marginal_contribution_with_local_improvement,True,4.678218247774307,0.7889468303407344,0.6767177618143683,0.8985686988947659,0.2218509370803976,0.16821784525937833,3,8,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_greedy_fit,6.551503630999832,0.0006302219999270164,0.006440907000069274,0.0026310680000278808,6.535399813000367,0.003911911000159307,0.002429379999739467,runs/batches/ex-all-all-def/runs/participants_080-projects_d-weights_default
ex-all-all-def,participants_080-projects_e-weights_default,080,e,default,80,8,34,80,round_based_marginal_contribution_with_local_improvement,True,6.17515310004087,0.7790432526792994,0.6748507433715436,0.9036224289456456,0.228771685574102,0.34421070798704,3,16,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,19.166136609999285,0.0005702329999621725,0.006320570999832853,0.0035039559998040204,19.147620711999934,0.005245234000085475,0.002824373999828822,runs/batches/ex-all-all-def/runs/participants_080-projects_e-weights_default
ex-all-all-def,participants_120-projects_a-weights_default,120,a,default,120,4,16,120,round_based_marginal_contribution_with_local_improvement,True,3.406864128451368,0.8594715523112774,0.8002673924695294,0.9243557156444965,0.1240883231749671,0.14904883619440357,2,8,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_machado_k_rounds,4.499740096999631,0.0024627090001558827,0.008627360999980738,0.0022762909998164105,4.480165415000101,0.003830031999768835,0.0023299199997381947,runs/batches/ex-all-all-def/runs/participants_120-projects_a-weights_default
ex-all-all-def,participants_120-projects_b-weights_default,120,b,default,120,4,16,120,round_based_marginal_contribution_with_local_improvement,True,3.4847293273779423,0.8790573002369376,0.8205752759797478,0.9465747702589808,0.12599949427923307,0.07433767228259347,2,6,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_random_constrained,3.619940731999577,0.0009016389999487728,0.00882122899975002,0.002261581999846385,3.6017542310000863,0.003743392999695061,0.002411128999938228,runs/batches/ex-all-all-def/runs/participants_120-projects_b-weights_default
ex-all-all-def,participants_120-projects_c-weights_default,120,c,default,120,5,19,120,round_based_marginal_contribution_with_local_improvement,True,4.038546404471648,0.8179471125796897,0.7052030611920301,0.9099596948992312,0.2047566337072011,0.09481927853166461,0,9,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,5.796118679998926,0.0008354689998668619,0.00903818599999795,0.0028984430000491557,5.776400198999909,0.004377074999865727,0.002522397999655368,runs/batches/ex-all-all-def/runs/participants_120-projects_c-weights_default
ex-all-all-def,participants_120-projects_d-weights_default,120,d,default,120,6,24,120,round_based_marginal_contribution_with_local_improvement,True,4.799654968072398,0.8086884448069935,0.6961827232375342,0.9060855263157894,0.20990280307825526,0.08525106895623846,0,9,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,baseline_balanced_greedy,8.818650496999908,0.0008197900001505332,0.008810978999918007,0.004239375999986805,8.796119313999952,0.006070121999982803,0.002544248000049265,runs/batches/ex-all-all-def/runs/participants_120-projects_d-weights_default
ex-all-all-def,participants_120-projects_e-weights_default,120,e,default,120,8,34,120,round_based_marginal_contribution_with_local_improvement,True,6.34038093315719,0.7988726069401321,0.6985425101214575,0.900942199576923,0.2023996894554655,0.32489370931548667,3,19,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,round_based_marginal_contribution_with_local_improvement,36.90613988399946,0.0009067589999176562,0.00882135899973946,0.004590042000018002,36.881402052999874,0.007520907999605697,0.0028500550001808733,runs/batches/ex-all-all-def/runs/participants_120-projects_e-weights_default
